key,counts,addr_ucount,ky_ucount,pd_ucount,law_f,law_m,law_v,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2015 1 7,969,76,37,131,322,505,142,35,7.897058823529413,15.4,16071.117647058823,16093.0,-5.626470588235294,-3.9,0.13333333333333333,1.8
2015 5 2,1184,77,40,128,352,678,154,33,2.5218749999999996,7.2,16069.75,16093.0,10.56875,15.6,0.0,0.0
2015 10 22,1409,77,39,140,495,727,187,33,3.8749999999999996,6.2,16069.75,16093.0,16.203125000000004,20.6,0.0,0.0
2016 2 22,1193,76,37,135,362,637,194,34,3.5515151515151504,5.7,16070.454545454546,16093.0,7.08787878787879,10.0,0.3482758620689655,2.0
2016 7 23,1421,77,41,141,452,773,196,33,5.937499999999998,8.2,16069.75,16093.0,30.946875000000006,36.1,0.0,0.0
2014 3 31,1153,75,38,133,331,665,157,43,9.559523809523814,11.8,12940.785714285714,16093.0,5.404761904761905,13.3,0.9948717948717948,13.5
2014 5 8,1323,76,43,142,398,759,166,38,2.5621621621621613,5.1,11479.432432432432,16093.0,12.497297297297289,14.4,0.7514285714285714,7.0
2014 6 9,1305,76,35,133,428,680,197,42,3.2585365853658512,7.2,12923.365853658537,16093.0,19.24390243902439,21.1,2.0,17.0
2015 7 6,1322,77,37,138,390,768,164,33,3.4625,7.2,15592.78125,16093.0,24.02187500000001,27.8,0.0,0.0
2015 8 19,1488,77,40,149,469,807,212,39,4.923684210526313,8.8,16073.421052631578,16093.0,26.613157894736837,30.0,0.0,0.0
2015 12 13,1249,77,38,126,403,669,177,33,2.0312500000000004,6.2,13696.96875,16093.0,14.184375000000005,20.6,0.0,0.0
2016 7 25,1248,76,38,133,402,665,181,42,4.453658536585365,8.8,14250.292682926829,16093.0,25.602439024390247,30.0,3.3225806451612905,36.8
2016 12 11,1063,77,40,133,323,602,138,36,3.17142857142857,5.7,14163.6,16093.0,0.19714285714285715,2.2,0.022222222222222223,0.3
2016 12 20,1143,76,36,132,344,639,160,33,3.2906249999999977,5.7,16069.75,16093.0,-2.7999999999999994,0.6,0.0,0.0
2016 12 25,817,76,32,98,227,453,137,33,4.853124999999997,7.7,16069.75,16093.0,7.159375,11.1,1.1259259259259258,15.2
2015 3 2,1119,76,39,137,346,590,183,41,4.579999999999998,11.8,13141.075,16093.0,0.014999999999999725,3.3,0.8714285714285714,13.0
2015 6 9,1351,76,39,135,413,739,199,38,6.22432432432432,10.3,14481.405405405405,16093.0,20.986486486486477,28.9,0.046875,0.5
2016 6 17,1441,77,43,148,446,778,217,33,3.5250000000000004,7.7,16069.75,16093.0,20.868749999999995,24.4,0.04814814814814815,1.0
2014 8 18,1311,77,42,139,415,718,178,33,4.4343749999999975,6.2,16069.75,16093.0,23.071874999999995,27.8,0.0,0.0
2016 5 29,1280,77,37,127,395,708,177,39,4.2368421052631575,8.8,13026.447368421053,16093.0,21.413157894736845,25.0,0.0,0.0
2014 6 11,1514,77,43,148,462,868,184,41,4.782499999999997,7.2,14928.4,16093.0,19.624999999999996,22.8,0.0,0.0
2014 9 12,1511,76,44,142,451,880,180,36,5.26285714285714,8.2,16071.742857142857,16093.0,21.900000000000002,27.2,0.0,0.0
2015 6 15,1379,77,38,138,407,767,205,54,3.650943396226412,7.7,11425.735849056604,16093.0,22.04528301886793,27.0,3.273170731707317,20.0
2016 1 14,1256,76,42,141,373,707,176,33,6.087499999999997,9.3,16019.46875,16093.0,-1.3968749999999996,3.9,0.0,0.0
2016 1 17,1182,76,38,128,338,683,161,37,4.941666666666665,6.7,12688.027777777777,16093.0,3.230555555555556,8.9,0.3483870967741936,8.4
2016 7 27,1405,77,41,147,462,746,197,33,3.753125,7.2,16069.75,16093.0,27.674999999999994,31.1,0.0,0.0
2016 9 5,1302,77,37,128,390,716,196,33,6.259375,9.3,16069.75,16093.0,22.493749999999995,28.9,0.0,0.0
2016 9 10,1345,77,40,139,411,723,211,32,4.254838709677419,10.3,15411.322580645161,16093.0,26.7258064516129,29.4,0.0,0.0
2014 1 8,1258,77,41,138,412,705,141,33,6.2499999999999964,9.8,16069.75,16093.0,-9.815625000000002,-5.6,0.0,0.0
2014 5 16,1555,77,38,143,455,906,194,49,9.46041666666667,12.4,6225.291666666667,16093.0,17.683333333333323,19.0,0.23428571428571432,3.6
2015 1 11,1017,76,39,122,361,521,135,33,5.584374999999997,8.8,16069.75,16093.0,-3.356249999999999,2.8,0.0,0.0
2015 12 25,984,77,34,106,319,505,160,66,0.8206349206349207,3.1,3657.4285714285716,16093.0,14.796825396825401,17.8,0.10540540540540541,1.5
2014 1 31,1398,77,41,148,485,749,164,35,4.188235294117646,6.2,16071.117647058823,16093.0,-0.6088235294117649,5.6,0.0,0.0
2015 2 26,1181,76,38,138,371,644,166,33,5.584374999999999,9.3,16019.46875,16093.0,-2.4437499999999996,2.2,0.0,0.0
2015 8 26,1445,77,42,144,495,775,175,34,4.87272727272727,8.2,16070.454545454546,16093.0,25.20606060606061,28.3,0.012,0.3
2016 6 11,1351,77,41,132,380,801,170,33,3.9875000000000003,7.7,16069.75,16093.0,21.234375000000004,27.2,0.0,0.0
2016 10 13,1329,77,41,143,408,732,189,34,2.754545454545455,6.7,15668.545454545454,16093.0,14.893939393939391,20.0,0.023076923076923075,0.3
2014 6 27,1493,77,41,148,484,809,200,38,4.0081081081081065,8.2,16072.891891891892,16093.0,22.840540540540538,28.3,0.02,0.5
2014 9 18,1489,76,41,143,446,845,198,33,2.5656249999999994,4.6,16069.75,16093.0,19.396874999999998,24.4,0.0,0.0
2014 11 28,1290,76,40,135,415,745,130,33,6.378124999999997,10.3,16069.75,16093.0,1.65,4.4,0.02962962962962963,0.5
2014 12 21,993,75,31,114,368,493,132,37,2.763888888888888,4.6,16072.333333333334,16093.0,1.6388888888888888,3.0,0.0,0.0
2015 1 17,1275,77,42,142,398,726,151,33,5.537499999999998,11.3,16069.75,16093.0,-4.828125000000001,-1.1,0.0,0.0
2015 5 6,1348,76,41,133,397,744,207,33,3.478124999999999,6.2,16069.75,16093.0,18.565625,20.6,0.0,0.0
2016 11 8,1158,77,38,130,332,635,191,33,2.6343749999999995,4.1,16069.75,16093.0,11.218749999999998,18.9,0.0,0.0
2014 1 9,1329,77,40,144,446,719,164,33,4.028124999999998,6.7,16069.75,16093.0,-3.1187499999999995,0.6,0.0,0.0
2014 1 23,1082,76,38,135,347,593,142,33,6.078125,9.3,16069.75,16093.0,-10.146874999999998,-6.7,0.012,0.3
2014 5 5,1340,77,42,142,410,746,184,34,7.839393939393937,10.8,16070.454545454546,16093.0,15.399999999999999,20.6,0.0,0.0
2014 11 2,1159,76,38,125,347,647,165,35,11.36764705882353,14.9,16071.117647058823,16093.0,7.0852941176470585,10.0,2.1966666666666668,26.2
2014 12 29,966,77,34,117,351,476,139,33,5.178124999999998,8.2,16069.75,16093.0,6.006249999999999,9.4,0.1,1.3
2015 9 24,1239,76,42,147,390,668,181,35,2.9676470588235286,5.7,16071.117647058823,16093.0,20.53823529411764,27.8,0.0,0.0
2016 6 26,1327,77,39,136,457,696,174,33,4.112500000000001,7.7,16069.75,16093.0,22.88125,26.1,0.0,0.0
2016 6 30,1373,77,40,144,444,738,191,33,4.8500000000000005,10.3,16069.75,16093.0,25.474999999999994,28.9,0.0,0.0
2014 6 14,1564,77,43,141,457,901,206,41,4.485000000000001,11.3,12934.8,16093.0,21.51,26.1,2.473333333333333,25.1
2015 1 5,1063,77,38,125,353,560,150,38,8.129729729729732,12.9,15485.756756756757,16093.0,6.529729729729731,12.2,1.3393939393939396,11.9
2015 3 15,1303,76,37,123,351,784,168,34,8.112121212121213,14.9,15675.121212121212,16093.0,7.239393939393935,9.4,1.9866666666666668,28.2
2015 4 20,1158,76,38,137,358,639,161,51,7.428000000000008,14.4,7127.6,16093.0,11.081999999999999,14.0,1.0538461538461539,12.0
2016 1 30,1311,76,38,138,425,720,166,33,5.649999999999997,10.8,16069.75,16093.0,0.85625,3.9,0.0,0.0
2014 1 14,1374,76,41,135,430,790,154,42,3.812195121951217,8.2,11392.80487804878,16093.0,7.7512195121951235,9.0,1.137142857142857,6.0
2014 6 15,1382,77,41,130,402,739,241,33,5.974999999999997,9.3,16069.75,16093.0,20.796875,27.8,0.0,0.0
2014 7 19,1544,77,44,145,463,901,180,33,2.7499999999999996,5.7,16069.75,16093.0,22.93124999999999,25.6,0.0,0.0
2015 7 2,1393,76,41,148,428,787,178,33,3.0874999999999986,7.2,16069.75,16093.0,24.640625000000004,28.3,0.264,6.6
2016 2 27,1278,76,39,142,429,695,154,33,6.309374999999996,9.3,16069.75,16093.0,0.3187500000000003,4.4,0.0,0.0
2014 1 26,1097,77,42,127,296,647,154,35,7.435294117647056,11.3,15409.85294117647,16093.0,-5.297058823529412,-3.0,0.06666666666666667,1.0
2015 1 28,1064,77,39,133,349,580,135,33,7.084374999999999,9.8,16069.75,16093.0,-4.671874999999999,0.6,0.32222222222222224,7.9
2015 4 2,1401,77,42,142,400,830,171,33,5.646875000000001,13.4,16069.75,16093.0,7.940624999999999,13.3,0.0,0.0
2015 6 19,1490,77,44,153,463,831,196,35,3.0882352941176463,5.7,16071.117647058823,16093.0,23.35588235294117,31.7,0.0,0.0
2015 7 12,1393,77,40,132,442,776,175,34,3.839393939393939,10.8,16070.454545454546,16093.0,25.74545454545455,30.0,0.0,0.0
2016 2 8,1030,76,37,122,312,564,154,43,7.1285714285714255,11.3,11586.57142857143,16093.0,1.5261904761904763,4.4,0.1941176470588235,3.0
2016 9 30,1230,76,39,139,407,648,175,43,8.583333333333334,10.8,10274.357142857143,16093.0,15.864285714285721,17.0,0.5410256410256411,5.0
2014 4 13,1280,76,44,123,361,758,161,36,6.200000000000003,12.4,15979.8,16093.0,12.634285714285717,17.8,0.0,0.0
2014 9 15,1412,77,41,143,426,793,193,33,3.3187499999999983,5.1,16069.75,16093.0,17.453125000000004,21.1,0.0,0.0
2015 1 31,1045,76,39,121,316,617,112,33,12.028125000000001,16.0,16069.75,16093.0,-6.2843750000000025,-1.7,0.05,1.0
2015 2 9,994,76,36,125,320,529,145,45,7.172727272727272,9.8,15725.272727272728,16093.0,-2.070454545454545,2.2,0.3162162162162162,2.0
2015 4 10,1307,77,38,136,387,756,164,50,3.2979591836734663,6.7,6904.959183673469,16093.0,7.155102040816325,10.0,0.272972972972973,4.0
2014 8 21,1451,76,42,153,455,830,166,33,2.95625,5.7,16069.75,16093.0,23.415625,25.6,0.0,0.0
2015 1 8,1003,76,38,130,324,532,147,33,8.603124999999995,15.4,16069.75,16093.0,-10.003125,-5.6,0.0,0.0
2015 5 19,1314,77,40,143,369,776,169,49,2.179166666666666,5.1,8537.333333333334,16093.0,16.512499999999996,23.3,0.0,0.0
2016 6 3,1423,77,43,141,430,791,202,40,2.6025641025641013,5.7,15481.820512820514,16093.0,18.292307692307688,19.4,0.029999999999999995,0.3
2016 10 8,1277,77,41,136,376,732,169,42,2.4780487804878035,4.1,15633.609756097561,16093.0,17.463414634146346,22.0,0.16774193548387098,1.5
2016 10 15,1328,77,42,143,442,702,184,33,2.6781249999999996,4.1,16069.75,16093.0,12.399999999999999,17.8,0.0,0.0
2015 8 5,1554,77,49,157,490,848,216,34,4.342424242424243,8.8,16070.454545454546,16093.0,27.863636363636363,32.8,0.012,0.3
2015 8 13,1520,77,41,143,496,820,204,33,3.8749999999999996,6.7,16069.75,16093.0,25.053125,29.4,0.0,0.0
2016 2 21,1153,77,38,130,366,616,171,33,3.2656249999999996,6.7,16069.75,16093.0,9.700000000000003,13.3,0.0,0.0
2016 3 9,1385,77,42,153,440,751,194,33,2.421875,4.1,14463.46875,16093.0,9.921875,16.1,0.0,0.0
2016 3 22,1240,77,38,131,378,701,161,33,7.771874999999999,10.3,16069.75,16093.0,6.134375,11.1,0.092,2.3
2016 5 31,1401,77,39,137,427,755,219,42,3.287804878048778,7.7,12014.414634146342,16093.0,20.85853658536585,25.0,1.0384615384615385,26.7
2016 7 6,1361,77,37,146,418,732,211,33,4.171875,7.7,16069.75,16093.0,27.631250000000005,30.6,0.47600000000000003,11.9
2015 7 22,1492,77,44,148,468,814,210,33,6.424999999999997,8.8,16069.75,16093.0,26.621875,31.1,0.0,0.0
2016 1 20,1342,76,38,134,408,731,203,33,6.318749999999998,11.3,16069.75,16093.0,0.24062500000000034,3.9,0.0,0.0
2014 3 16,1217,77,42,126,324,755,138,33,7.053124999999996,9.8,16069.75,16093.0,3.9531249999999996,11.7,0.012,0.3
2014 6 30,1310,77,41,124,422,699,189,33,5.1,9.3,16069.75,16093.0,22.953125000000004,26.7,0.0,0.0
2015 4 26,1266,77,40,124,350,722,194,33,4.046874999999999,5.7,16069.75,16093.0,10.271875000000001,14.4,0.0,0.0
2015 5 28,1373,77,37,148,437,763,173,42,3.7926829268292654,8.2,13288.024390243903,16093.0,18.50731707317073,23.9,0.0,0.0
2015 11 2,1204,76,42,149,420,609,175,33,2.793749999999999,5.7,16069.75,16093.0,14.906249999999998,18.3,0.0,0.0
2016 1 19,1186,76,38,139,391,646,149,33,10.406250000000002,12.9,16069.75,16093.0,-5.084374999999997,-0.6,0.0,0.0
2016 5 3,1263,76,39,141,379,695,189,47,3.2195652173913025,4.6,7697.565217391304,16093.0,11.752173913043476,12.2,1.4441176470588228,13.0
2016 7 15,1410,76,42,146,449,759,202,33,4.084375000000001,8.2,16069.75,16093.0,28.70312500000001,32.2,0.7851851851851852,7.1
2016 11 6,1102,77,36,128,359,577,166,33,6.6218749999999975,9.3,16069.75,16093.0,13.400000000000004,15.6,0.0,0.0
2016 12 10,1220,77,37,134,382,680,158,33,6.462499999999996,9.8,16069.75,16093.0,0.6874999999999999,3.3,0.0,0.0
2014 5 31,1402,77,41,142,410,804,188,33,5.443749999999999,10.3,16007.25,16093.0,17.390625000000004,21.1,0.1206896551724138,0.8
2014 12 6,1174,76,43,131,379,648,147,50,1.9591836734693873,6.2,8969.734693877552,16093.0,9.002040816326533,11.0,2.495454545454545,14.0
2016 9 14,1348,76,39,145,443,733,172,37,5.7833333333333306,12.4,15245.333333333334,16093.0,23.469444444444445,28.3,1.075,10.9
2016 10 7,1422,77,39,150,455,773,194,38,2.4270270270270267,5.7,12465.378378378378,16093.0,15.859459459459462,22.8,0.0,0.0
2015 4 29,1363,77,41,146,440,727,196,33,4.946874999999999,6.7,16069.75,16093.0,17.165625000000002,23.3,0.0,0.0
2015 8 14,1572,77,44,158,511,858,203,33,3.2906250000000012,7.2,16069.75,16093.0,24.874999999999996,30.0,0.0,0.0
2015 12 12,1472,77,38,146,524,787,161,33,2.8781249999999985,4.6,15554.6875,16093.0,13.165625,17.8,0.0,0.0
2016 4 30,1274,77,40,141,379,725,170,33,3.8687499999999995,6.2,16069.75,16093.0,10.584375000000001,15.0,0.1206896551724138,0.8
2014 10 8,1434,77,41,150,420,826,188,33,8.228124999999999,13.9,16069.75,16093.0,20.325000000000006,23.9,0.10714285714285714,0.8
2015 3 21,1259,77,43,144,361,772,126,40,4.320512820512818,6.7,12273.205128205129,16093.0,1.4076923076923076,8.0,0.5777777777777778,8.4
2015 4 5,1019,76,39,117,286,587,146,34,6.254545454545454,11.8,16070.454545454546,16093.0,10.166666666666664,17.2,0.0,0.0
2015 9 18,1574,77,43,150,487,874,213,33,3.006249999999999,5.1,16069.75,16093.0,23.143750000000004,28.3,0.0,0.0
2016 9 15,1416,77,40,149,401,812,203,33,4.628124999999998,8.2,16069.75,16093.0,20.64687499999999,24.4,1.1310344827586205,11.0
2016 2 12,1234,76,40,144,385,682,167,33,6.303124999999997,12.9,16069.75,16093.0,-5.781250000000002,-3.3,0.0,0.0
2016 2 17,1149,76,40,142,368,639,142,35,6.164705882352937,9.3,16071.117647058823,16093.0,4.350000000000001,8.9,0.8038461538461538,11.9
2016 6 14,1382,77,40,142,401,778,203,33,5.899999999999998,8.8,16069.75,16093.0,20.928125000000005,27.2,0.0,0.0
2016 9 25,1198,76,37,132,390,678,130,33,3.103124999999999,5.7,16069.75,16093.0,16.621875000000003,20.6,0.29600000000000004,7.4
2014 2 9,1136,76,38,115,334,682,120,35,3.311764705882351,5.1,14911.470588235294,16093.0,-3.4294117647058826,-1.1,0.018518518518518517,0.5
2014 8 31,1286,77,44,139,428,705,153,40,4.784615384615383,10.8,15610.02564102564,16093.0,24.94871794871795,29.4,0.08518518518518518,2.0
2016 1 9,1380,76,41,145,470,737,173,42,4.82682926829268,6.7,16074.853658536585,16093.0,7.456097560975608,11.7,0.011538461538461537,0.3
2015 2 14,1201,77,45,137,391,671,139,37,4.627777777777776,10.3,14129.611111111111,16093.0,-4.013888888888888,1.1,0.02333333333333333,0.3
2015 10 16,1506,77,41,152,466,836,204,33,5.974999999999997,7.7,16069.75,16093.0,15.590625000000001,18.9,0.0,0.0
2016 6 24,1458,77,37,156,482,747,229,33,4.646875,9.8,13898.0625,16093.0,24.178124999999994,28.9,0.0,0.0
2016 7 26,1387,77,40,139,431,751,205,35,5.426470588235291,8.8,16071.117647058823,16093.0,27.52941176470588,33.9,6.493103448275862,62.7
2016 7 29,1328,76,44,149,434,703,191,41,4.597499999999998,7.7,13511.65,16093.0,24.549999999999994,29.4,1.3138888888888889,11.0
2016 9 7,1322,77,40,147,454,655,213,40,6.958974358974358,9.8,15120.461538461539,16093.0,23.925641025641024,30.0,0.6096774193548388,4.3
2014 10 30,1337,77,39,144,436,709,192,34,4.078787878787879,6.2,15614.515151515152,16093.0,12.172727272727272,15.6,0.08275862068965519,0.8
2015 4 16,1352,76,44,140,403,757,192,33,5.053124999999999,6.7,16069.75,16093.0,13.615624999999996,18.9,0.0,0.0
2015 8 22,1484,77,45,153,483,817,184,33,3.7249999999999983,6.2,16069.75,16093.0,25.287499999999998,29.4,2.3333333333333335,63.0
2014 3 2,1171,76,41,130,327,687,157,33,3.1906249999999985,5.1,16019.46875,16093.0,2.3625,6.1,0.0,0.0
2014 3 26,1281,76,40,135,372,753,156,33,10.028125,15.4,15329.15625,16093.0,1.4249999999999998,3.9,0.0,0.0
2014 4 19,1317,76,42,134,357,826,134,33,4.1625,7.2,16069.75,16093.0,10.534374999999997,19.4,0.0,0.0
2015 4 22,1362,77,42,148,408,790,164,36,5.7628571428571425,12.4,15474.0,16093.0,12.774285714285714,16.7,0.5066666666666667,4.0
